 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 19, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Lead.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   7.688E+00  3.003E-01     114 A       202 A       148 A   
   1.50 keV   7.958E+00  3.027E-01     121 A       210 A       154 A   
   1.60 keV   8.219E+00  3.048E-01     127 A       219 A       160 A   
   1.70 keV   8.472E+00  3.066E-01     134 A       227 A       166 A   
   1.80 keV   8.718E+00  3.081E-01     140 A       234 A       172 A   
   2.00 keV   9.189E+00  3.106E-01     153 A       249 A       183 A   
   2.25 keV   9.681E+00  3.129E-01     169 A       267 A       197 A   
   2.50 keV   1.014E+01  3.143E-01     184 A       285 A       211 A   
   2.75 keV   1.057E+01  3.151E-01     200 A       302 A       224 A   
   3.00 keV   1.098E+01  3.155E-01     216 A       319 A       236 A   
   3.25 keV   1.137E+01  3.155E-01     232 A       335 A       249 A   
   3.50 keV   1.175E+01  3.152E-01     247 A       350 A       261 A   
   3.75 keV   1.211E+01  3.146E-01     263 A       366 A       273 A   
   4.00 keV   1.245E+01  3.138E-01     278 A       381 A       284 A   
   4.50 keV   1.311E+01  3.119E-01     310 A       409 A       307 A   
   5.00 keV   1.373E+01  3.094E-01     341 A       437 A       329 A   
   5.50 keV   1.431E+01  3.067E-01     372 A       464 A       350 A   
   6.00 keV   1.487E+01  3.038E-01     403 A       490 A       371 A   
   6.50 keV   1.539E+01  3.007E-01     434 A       516 A       391 A   
   7.00 keV   1.590E+01  2.976E-01     465 A       540 A       411 A   
   8.00 keV   1.685E+01  2.912E-01     528 A       587 A       450 A   
   9.00 keV   1.773E+01  2.849E-01     590 A       632 A       486 A   
  10.00 keV   1.855E+01  2.787E-01     652 A       674 A       522 A   
  11.00 keV   1.933E+01  2.726E-01     715 A       715 A       556 A   
  12.00 keV   2.006E+01  2.668E-01     777 A       755 A       589 A   
  13.00 keV   2.076E+01  2.612E-01     839 A       793 A       621 A   
  14.00 keV   2.142E+01  2.558E-01     901 A       829 A       653 A   
  15.00 keV   2.205E+01  2.507E-01     963 A       864 A       683 A   
  16.00 keV   2.266E+01  2.457E-01    1025 A       898 A       713 A   
  17.00 keV   2.324E+01  2.410E-01    1087 A       932 A       742 A   
  18.00 keV   2.380E+01  2.365E-01    1149 A       964 A       771 A   
  20.00 keV   2.486E+01  2.279E-01    1273 A      1025 A       826 A   
  22.50 keV   2.609E+01  2.182E-01    1427 A      1097 A       893 A   
  25.00 keV   2.721E+01  2.094E-01    1580 A      1165 A       956 A   
  27.50 keV   2.826E+01  2.014E-01    1733 A      1229 A      1017 A   
  30.00 keV   2.924E+01  1.941E-01    1885 A      1290 A      1076 A   
  32.50 keV   3.015E+01  1.874E-01    2036 A      1347 A      1132 A   
  35.00 keV   3.100E+01  1.812E-01    2187 A      1402 A      1187 A   
  37.50 keV   3.180E+01  1.754E-01    2337 A      1455 A      1240 A   
  40.00 keV   3.255E+01  1.701E-01    2486 A      1506 A      1292 A   
  45.00 keV   3.392E+01  1.605E-01    2783 A      1601 A      1391 A   
  50.00 keV   3.513E+01  1.522E-01    3078 A      1690 A      1485 A   
  55.00 keV   3.621E+01  1.447E-01    3371 A      1773 A      1576 A   
  60.00 keV   3.718E+01  1.381E-01    3663 A      1851 A      1663 A   
  65.00 keV   3.803E+01  1.322E-01    3953 A      1925 A      1747 A   
  70.00 keV   3.879E+01  1.268E-01    4242 A      1996 A      1828 A   
