 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 03, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Fe-Mg-Si- O.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.3200E+00 g/cm3 = 7.1295E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    022.22    044.26   
     Mg     12    022.22    019.26   
     Si     14    011.11    011.13   
      O      8    044.44    025.36   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.20 keV   3.692E+00  4.325E-01     172 A       173 A       133 A   
   1.30 keV   3.843E+00  4.243E-01     185 A       182 A       141 A   
   1.40 keV   3.988E+00  4.165E-01     198 A       190 A       148 A   
   1.50 keV   4.128E+00  4.089E-01     212 A       199 A       155 A   
   1.60 keV   4.263E+00  4.017E-01     225 A       207 A       161 A   
   1.70 keV   4.394E+00  3.947E-01     238 A       215 A       168 A   
   1.80 keV   4.522E+00  3.880E-01     251 A       222 A       175 A   
   2.00 keV   4.766E+00  3.753E-01     277 A       237 A       187 A   
   2.25 keV   5.029E+00  3.608E-01     309 A       254 A       202 A   
   2.50 keV   5.277E+00  3.476E-01     341 A       270 A       216 A   
   2.75 keV   5.512E+00  3.355E-01     373 A       286 A       230 A   
   3.00 keV   5.737E+00  3.244E-01     405 A       300 A       244 A   
   3.25 keV   5.951E+00  3.141E-01     437 A       314 A       256 A   
   3.50 keV   6.154E+00  3.046E-01     468 A       328 A       269 A   
   3.75 keV   6.347E+00  2.957E-01     499 A       340 A       281 A   
   4.00 keV   6.530E+00  2.875E-01     530 A       353 A       292 A   
   4.50 keV   6.870E+00  2.726E-01     591 A       376 A       315 A   
   5.00 keV   7.182E+00  2.594E-01     652 A       397 A       336 A   
   5.50 keV   7.474E+00  2.477E-01     712 A       417 A       356 A   
   6.00 keV   7.754E+00  2.372E-01     771 A       436 A       375 A   
   6.50 keV   8.030E+00  2.277E-01     830 A       454 A       394 A   
   7.00 keV   8.304E+00  2.191E-01     888 A       471 A       412 A   
   8.00 keV   8.845E+00  2.039E-01    1002 A       502 A       445 A   
   9.00 keV   9.373E+00  1.911E-01    1112 A       530 A       476 A   
  10.00 keV   9.883E+00  1.800E-01    1219 A       555 A       504 A   
  11.00 keV   1.037E+01  1.703E-01    1324 A       578 A       531 A   
  12.00 keV   1.084E+01  1.618E-01    1425 A       599 A       556 A   
  13.00 keV   1.128E+01  1.542E-01    1524 A       618 A       579 A   
  14.00 keV   1.170E+01  1.474E-01    1621 A       636 A       601 A   
