 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 04, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Tantalum.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.6678E+01 g/cm3 = 5.5504E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ta     73    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   1.963E-02  1.054E-03      75 A       143 A       104 A   
   1.50 keV   2.032E-02  1.061E-03      80 A       150 A       109 A   
   1.60 keV   2.098E-02  1.067E-03      84 A       155 A       113 A   
   1.70 keV   2.163E-02  1.072E-03      89 A       161 A       118 A   
   1.80 keV   2.225E-02  1.076E-03      93 A       167 A       122 A   
   2.00 keV   2.346E-02  1.082E-03     102 A       178 A       131 A   
   2.25 keV   2.468E-02  1.088E-03     113 A       191 A       141 A   
   2.50 keV   2.582E-02  1.090E-03     124 A       204 A       151 A   
   2.75 keV   2.690E-02  1.091E-03     135 A       217 A       160 A   
   3.00 keV   2.794E-02  1.090E-03     146 A       229 A       170 A   
   3.25 keV   2.893E-02  1.088E-03     156 A       241 A       179 A   
   3.50 keV   2.988E-02  1.085E-03     167 A       253 A       188 A   
   3.75 keV   3.079E-02  1.081E-03     178 A       265 A       196 A   
   4.00 keV   3.168E-02  1.077E-03     189 A       276 A       205 A   
   4.50 keV   3.336E-02  1.067E-03     211 A       297 A       222 A   
   5.00 keV   3.495E-02  1.056E-03     234 A       318 A       239 A   
   5.50 keV   3.646E-02  1.044E-03     256 A       339 A       255 A   
   6.00 keV   3.790E-02  1.032E-03     278 A       358 A       270 A   
   6.50 keV   3.927E-02  1.019E-03     300 A       378 A       285 A   
   7.00 keV   4.059E-02  1.007E-03     322 A       396 A       300 A   
   8.00 keV   4.309E-02  9.815E-04     367 A       432 A       329 A   
   9.00 keV   4.543E-02  9.570E-04     412 A       465 A       357 A   
  10.00 keV   4.763E-02  9.335E-04     457 A       498 A       383 A   
  11.00 keV   4.972E-02  9.109E-04     502 A       529 A       409 A   
  12.00 keV   5.170E-02  8.893E-04     547 A       559 A       434 A   
  13.00 keV   5.360E-02  8.687E-04     592 A       587 A       458 A   
  14.00 keV   5.541E-02  8.491E-04     637 A       615 A       482 A   
  15.00 keV   5.715E-02  8.305E-04     683 A       642 A       505 A   
  16.00 keV   5.883E-02  8.127E-04     728 A       668 A       527 A   
  17.00 keV   6.044E-02  7.957E-04     773 A       693 A       549 A   
  18.00 keV   6.200E-02  7.796E-04     818 A       717 A       571 A   
  20.00 keV   6.497E-02  7.494E-04     908 A       763 A       612 A   
  22.50 keV   6.844E-02  7.154E-04    1020 A       817 A       662 A   
  25.00 keV   7.166E-02  6.847E-04    1132 A       868 A       710 A   
  27.50 keV   7.468E-02  6.570E-04    1243 A       916 A       755 A   
  30.00 keV   7.751E-02  6.318E-04    1354 A       961 A       799 A   
  32.50 keV   8.017E-02  6.088E-04    1464 A      1004 A       841 A   
  35.00 keV   8.267E-02  5.876E-04    1573 A      1045 A       881 A   
  37.50 keV   8.504E-02  5.682E-04    1682 A      1083 A       920 A   
  40.00 keV   8.727E-02  5.502E-04    1790 A      1121 A       958 A   
  45.00 keV   9.138E-02  5.179E-04    2006 A      1190 A      1031 A   
  50.00 keV   9.505E-02  4.898E-04    2219 A      1255 A      1100 A   
  55.00 keV   9.834E-02  4.651E-04    2430 A      1315 A      1166 A   
  60.00 keV   1.013E-01  4.431E-04    2640 A      1371 A      1229 A   
  65.00 keV   1.039E-01  4.234E-04    2848 A      1425 A      1289 A   
  70.00 keV   1.062E-01  4.056E-04    3056 A      1475 A      1348 A   
  80.00 keV   1.100E-01  3.748E-04    3468 A      1569 A      1459 A   
  90.00 keV   1.130E-01  3.490E-04    3880 A      1656 A      1565 A   
 100.00 keV   1.151E-01  3.269E-04    4290 A      1737 A      1667 A   
 110.00 keV   1.166E-01  3.079E-04    4702 A      1813 A      1765 A   
 120.00 keV   1.175E-01  2.912E-04    5115 A      1886 A      1860 A   
 130.00 keV   1.180E-01  2.765E-04    5532 A      1955 A      1953 A   
 140.00 keV   1.182E-01  2.633E-04    5951 A      2023 A      2045 A   
 150.00 keV   1.180E-01  2.516E-04    6375 A      2088 A      2135 A   
 160.00 keV   1.176E-01  2.409E-04    6804 A      2151 A      2224 A   
 170.00 keV   1.170E-01  2.313E-04    7238 A      2214 A      2313 A   
 180.00 keV   1.162E-01  2.225E-04    7677 A      2275 A      2402 A   
 200.00 keV   1.144E-01  2.069E-04    8574 A      2395 A      2578 A   
 225.00 keV   1.119E-01  1.906E-04    9728 A      2544 A      2799 A   
 250.00 keV   1.092E-01  1.770E-04    1.09 um     2690 A      3021 A   
 275.00 keV   1.066E-01  1.653E-04    1.22 um     2835 A      3246 A   
 300.00 keV   1.040E-01  1.553E-04    1.34 um     2979 A      3473 A   
 325.00 keV   1.016E-01  1.465E-04    1.47 um     3123 A      3704 A   
 350.00 keV   9.932E-02  1.388E-04    1.61 um     3268 A      3937 A   
 375.00 keV   9.716E-02  1.320E-04    1.75 um     3413 A      4174 A   
 400.00 keV   9.512E-02  1.258E-04    1.89 um     3559 A      4414 A   
 450.00 keV   9.136E-02  1.152E-04    2.18 um     3860 A      4905 A   
 500.00 keV   8.797E-02  1.065E-04    2.49 um     4166 A      5408 A   
 550.00 keV   8.490E-02  9.904E-05    2.81 um     4474 A      5924 A   
 600.00 keV   8.208E-02  9.268E-05    3.14 um     4787 A      6453 A   
 650.00 keV   7.949E-02  8.716E-05    3.49 um     5103 A      6994 A   
 700.00 keV   7.709E-02  8.232E-05    3.84 um     5424 A      7547 A   
 800.00 keV   7.277E-02  7.422E-05    4.59 um     6116 A      8691 A   
 900.00 keV   6.898E-02  6.769E-05    5.38 um     6823 A      9882 A   
   1.00 MeV   6.562E-02  6.230E-05    6.22 um     7546 A      1.11 um  
   1.10 MeV   6.311E-02  5.777E-05    7.10 um     8283 A      1.24 um  
   1.20 MeV   6.066E-02  5.391E-05    8.02 um     9030 A      1.37 um  
   1.30 MeV   5.854E-02  5.057E-05    8.97 um     9790 A      1.51 um  
   1.40 MeV   5.662E-02  4.765E-05    9.96 um     1.06 um     1.64 um  
   1.50 MeV   5.485E-02  4.508E-05   10.98 um     1.13 um     1.79 um  
   1.60 MeV   5.322E-02  4.279E-05   12.03 um     1.21 um     1.93 um  
   1.70 MeV   5.171E-02  4.074E-05   13.12 um     1.29 um     2.08 um  
   1.80 MeV   5.030E-02  3.890E-05   14.24 um     1.37 um     2.23 um  
   2.00 MeV   4.775E-02  3.570E-05   16.58 um     1.56 um     2.54 um  
   2.25 MeV   4.499E-02  3.242E-05   19.67 um     1.80 um     2.95 um  
   2.50 MeV   4.261E-02  2.973E-05   22.95 um     2.04 um     3.37 um  
   2.75 MeV   4.051E-02  2.748E-05   26.41 um     2.29 um     3.81 um  
   3.00 MeV   3.865E-02  2.557E-05   30.05 um     2.54 um     4.26 um  
   3.25 MeV   3.699E-02  2.393E-05   33.87 um     2.79 um     4.73 um  
   3.50 MeV   3.550E-02  2.249E-05   37.85 um     3.05 um     5.22 um  
   3.75 MeV   3.414E-02  2.124E-05   42.00 um     3.32 um     5.72 um  
   4.00 MeV   3.291E-02  2.012E-05   46.32 um     3.59 um     6.24 um  
   4.50 MeV   3.073E-02  1.823E-05   55.42 um     4.24 um     7.32 um  
   5.00 MeV   2.887E-02  1.668E-05   65.15 um     4.89 um     8.45 um  
   5.50 MeV   2.726E-02  1.539E-05   75.50 um     5.56 um     9.65 um  
   6.00 MeV   2.585E-02  1.430E-05   86.44 um     6.24 um    10.89 um  
   6.50 MeV   2.459E-02  1.336E-05   97.97 um     6.94 um    12.19 um  
   7.00 MeV   2.348E-02  1.254E-05  110.07 um     7.65 um    13.55 um  
   8.00 MeV   2.157E-02  1.119E-05  135.95 um     9.46 um    16.41 um  
   9.00 MeV   1.998E-02  1.012E-05  164.03 um    11.29 um    19.47 um  
